[2025-07-28 15:56:37] [INFO] Starting Velociraptor Setup Scripts Release Pipeline
[2025-07-28 15:56:37] [INFO] Version: 5.1.0
[2025-07-28 15:56:37] [INFO] Stage: QA
[2025-07-28 15:56:37] [INFO] Checking prerequisites...
[2025-07-28 15:56:37] [SUCCESS] PowerShell is available
[2025-07-28 15:56:37] [SUCCESS] Pester is available
[2025-07-28 15:56:38] [ERROR] PSScriptAnalyzer is missing
[2025-07-28 15:56:38] [SUCCESS] Git is available
[2025-07-28 15:56:38] [ERROR] Prerequisites check failed
[2025-07-28 15:57:11] [INFO] Starting Velociraptor Setup Scripts Release Pipeline
[2025-07-28 15:57:11] [INFO] Version: 5.1.0
[2025-07-28 15:57:11] [INFO] Stage: QA
[2025-07-28 15:57:11] [INFO] Checking prerequisites...
[2025-07-28 15:57:11] [SUCCESS] PowerShell is available
[2025-07-28 15:57:11] [SUCCESS] Pester is available
[2025-07-28 15:57:11] [SUCCESS] PSScriptAnalyzer is available
[2025-07-28 15:57:11] [SUCCESS] Git is available
[2025-07-28 15:57:11] [INFO] Running static code analysis...
[2025-07-28 15:57:12] [WARNING] Issues found in Advanced-UA-Testing.ps1: 50
[2025-07-28 15:57:13] [WARNING] Issues found in Backup-VelociraptorData.ps1: 13
[2025-07-28 15:57:14] [WARNING] Issues found in BETA_RELEASE_QA.ps1: 39
[2025-07-28 15:57:16] [WARNING] Issues found in Cleanup_Velociraptor.ps1: 4
[2025-07-28 15:57:16] [WARNING] Issues found in commit-changes.ps1: 39
[2025-07-28 15:57:17] [WARNING] Issues found in COMPREHENSIVE_BETA_QA.ps1: 59
[2025-07-28 15:57:17] [WARNING] Issues found in create-pull-request.ps1: 28
[2025-07-28 15:57:17] [WARNING] Issues found in Debug-ExportToolMapping.ps1: 25
[2025-07-28 15:57:18] [WARNING] Issues found in Deploy_Velociraptor_Server_Improved.ps1: 18
[2025-07-28 15:57:20] [WARNING] Issues found in Deploy_Velociraptor_Server.ps1: 3
[2025-07-28 15:57:21] [WARNING] Issues found in Deploy_Velociraptor_Standalone_Improved.ps1: 13
[2025-07-28 15:57:21] [WARNING] Issues found in Deploy_Velociraptor_Standalone.ps1: 7
[2025-07-28 15:57:22] [WARNING] Issues found in execute-uat-checklist.ps1: 47
[2025-07-28 15:57:22] [WARNING] Issues found in FIX_CRITICAL_ISSUES.ps1: 11
[2025-07-28 15:57:22] [WARNING] Issues found in Fix-All-BackColor-Issues.ps1: 9
[2025-07-28 15:57:23] [WARNING] Issues found in Fix-GUI-Critical-Issues.ps1: 16
[2025-07-28 15:57:23] [WARNING] Issues found in Fix-GUIDeploymentStep.ps1: 9
[2025-07-28 15:57:23] [WARNING] Issues found in Interactive-GUI-Test.ps1: 53
[2025-07-28 15:57:23] [WARNING] Issues found in Investigate-ArtifactPack.ps1: 43
[2025-07-28 15:57:24] [WARNING] Issues found in Manage-VelociraptorConfig.ps1: 3
[2025-07-28 15:57:24] [WARNING] Issues found in Prepare_OfflineCollector_Env.ps1: 2
[2025-07-28 15:57:24] [WARNING] Issues found in QUICK_QA_TEST.ps1: 26
[2025-07-28 15:57:24] [WARNING] Issues found in setup-beta-environment.ps1: 30
[2025-07-28 15:57:24] [WARNING] Issues found in Test-ArtifactToolManager-Fixed.ps1: 52
[2025-07-28 15:57:24] [WARNING] Issues found in Test-ArtifactToolManager.ps1: 41
[2025-07-28 15:57:24] [WARNING] Issues found in Test-CriticalFixes.ps1: 37
[2025-07-28 15:57:24] [WARNING] Issues found in Test-ExportFix.ps1: 13
[2025-07-28 15:57:24] [WARNING] Issues found in Test-ExportOnly.ps1: 15
[2025-07-28 15:57:25] [WARNING] Issues found in Test-GUI-Comprehensive.ps1: 46
[2025-07-28 15:57:25] [WARNING] Issues found in test-gui-syntax.ps1: 11
[2025-07-28 15:57:25] [WARNING] Issues found in Test-GUIBackColorFix.ps1: 18
[2025-07-28 15:57:25] [WARNING] Issues found in Test-GUIFixes.ps1: 21
[2025-07-28 15:57:25] [WARNING] Issues found in Test-GUILayout.ps1: 21
[2025-07-28 15:57:26] [WARNING] Issues found in Test-GUILogic.ps1: 30
[2025-07-28 15:57:26] [WARNING] Issues found in Test-GUISyntax.ps1: 15
[2025-07-28 15:57:26] [WARNING] Issues found in Test-IncidentResponseGUI.ps1: 58
[2025-07-28 15:57:26] [WARNING] Issues found in Test-OfflineCollectorFix.ps1: 31
[2025-07-28 15:57:28] [WARNING] Issues found in Test-VelociraptorHealth.ps1: 13
[2025-07-28 15:57:28] [WARNING] Issues found in Test-WindowsFormsInit.ps1: 19
[2025-07-28 15:57:29] [WARNING] Issues found in VelociraptorGUI-Safe.ps1: 12
